STATE_UT_NAME,DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN And NICOBAR ISLANDS,NICOBAR,107.3,57.9,65.2,117,358.5,295.5,285,271.9,354.8,326,315.2,250.9,2805.2,165.2,540.7,1207.2,892.1
ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,43.7,26,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,3015.7,69.7,483.5,1757.2,705.3
ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,32.7,15.9,8.6,53.4,343.6,503.3,465.4,460.9,454.8,276.1,198.6,100,2913.3,48.6,405.6,1884.4,574.7
ARUNACHAL PRADESH,LOHIT,42.2,80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,123,841.3,1848.5,231
ARUNACHAL PRADESH,EAST SIANG,33.3,79.5,105.9,216.5,323,738.3,990.9,711.2,568,206.9,29.5,31.7,4034.7,112.8,645.4,3008.4,268.1
ARUNACHAL PRADESH,SUBANSIRI F.D,28,48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,1300.4,76.3,327.3,788.4,108.4
ARUNACHAL PRADESH,TIRAP,42.2,72.7,141,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,3571.5,114.9,786.6,2385.5,284.5
ARUNACHAL PRADESH,ANJAW (LOHIT),42.2,80.8,176.4,358.5,306.4,447,660.1,427.8,313.6,167.1,34.1,29.8,3043.8,123,841.3,1848.5,231
ARUNACHAL PRADESH,LOWER DIBANG,83.7,153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,2553.3,237.6,955.1,1073.4,287.2
ARUNACHAL PRADESH,CHANGLANG,70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275,64.9,74.2,3543.9,241.2,1256.5,1632.1,414.1
ARUNACHAL PRADESH,PAPUM PARE,33.5,67.8,106.1,226.9,453,640.5,609.5,503.4,492.3,214.7,19.2,11.3,3378.2,101.3,786,2245.7,245.2
ARUNACHAL PRADESH,LOW SUBANSIRI,97.5,109.3,92.4,204.3,266.2,284.1,248.9,270.5,192.7,78.5,49.5,27.2,1921.1,206.8,562.9,996.2,155.2
ARUNACHAL PRADESH,UPPER SIANG,74.3,176.7,362.6,397.5,408.7,801.9,653,417.9,686,264.9,86.9,71.7,4402.1,251,1168.8,2558.8,423.5
ARUNACHAL PRADESH,WEST SIANG,26,66.7,76.8,229.2,239.5,416.6,592.4,312.4,291.1,126.8,33.7,29.5,2440.7,92.7,545.5,1612.5,190
ARUNACHAL PRADESH,DIBANG VALLEY,83.7,153.9,303.5,383.6,268,374.2,272,160.5,266.7,167.2,64,56,2553.3,237.6,955.1,1073.4,287.2
ARUNACHAL PRADESH,WEST KAMENG,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,3399.4,78.7,534.3,2485.2,301.2
ARUNACHAL PRADESH,EAST KAMENG,49,74.4,96.5,156.9,208,345.7,368.5,256.2,275.9,138.2,34.4,27.2,2030.9,123.4,461.4,1246.3,199.8
ARUNACHAL PRADESH,TAWANG(W KAME,35.2,43.5,58.9,134.3,341.1,665.3,749.9,579.1,490.9,233.9,40.3,27,3399.4,78.7,534.3,2485.2,301.2
ARUNACHAL PRADESH,KURUNG KUMEY,82.7,70,128.2,245.7,271.4,292.7,404,276.3,283.5,92.3,32.3,42.4,2221.5,152.7,645.3,1256.5,167
ASSAM,CACHAR,13.3,50.2,168.3,262.5,386.4,532.1,526.2,470.8,360.8,182.4,34.8,11.4,2999.2,63.5,817.2,1889.9,228.6
ASSAM,DARRANG,13.1,21.4,53.5,168.8,320,419.7,345.8,272.1,221.5,95.4,17.2,9.3,1957.8,34.5,542.3,1259.1,121.9
ASSAM,GOALPARA,12.7,20.4,51.1,196.6,399.8,567.8,502.8,334.6,304.9,157.7,21.7,5.2,2575.3,33.1,647.5,1710.1,184.6
ASSAM,KAMRUP,12,20.8,58.6,151.7,293.4,365.5,345.1,248.7,188.4,106.6,15.1,7.5,1813.4,32.8,503.7,1147.7,129.2
ASSAM,LAKHIMPUR,27.7,48.6,76.7,165.5,331.9,528.3,605.2,467.6,424.1,140.3,23,20.4,2859.3,76.3,574.1,2025.2,183.7
ASSAM,NORTH CACHAR,16.7,47.5,158.9,207.9,308,328.1,270.3,201.3,189.1,196.4,42.1,11.2,1977.5,64.2,674.8,988.8,249.7
ASSAM,NAGAON,12,22.5,48.1,128.9,171.3,285.9,326.3,294.1,218.6,120,21.6,10.8,1660.1,34.5,348.3,1124.9,152.4
