               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11108,            0.097568,             0.02827,           0.0090356,            0.054945,           0.0041667,          0.00079896,              0.0965,             0.08347,            0.024982,             0.00066,             0.00066,             0.09406
                   1,            0.094024,             0.10883,            0.026255,             0.03519,            0.076923,            0.016574,           0.0028204,            0.080335,            0.089933,            0.022146,           0.0013294,           0.0013294,            0.088029
                   2,            0.080719,             0.12282,            0.023004,             0.13472,             0.13736,            0.086668,            0.024016,             0.06987,            0.081537,             0.01733,           0.0019964,           0.0019964,            0.081996
                   3,            0.069646,            0.096051,              0.0195,              0.6503,             0.25275,             0.15202,            0.036047,            0.062766,            0.070128,            0.013352,           0.0026591,           0.0026591,            0.075959
                   4,            0.069134,            0.090499,            0.019648,             0.70508,             0.26374,             0.20475,            0.064726,            0.059953,            0.060005,            0.012226,           0.0033158,           0.0033158,            0.069916
                   5,             0.07002,            0.074941,            0.019228,             0.66232,              0.2967,             0.17934,            0.045929,            0.065769,            0.053367,            0.011627,           0.0039648,           0.0039648,            0.063865
                   6,            0.076524,            0.077137,            0.018754,             0.21282,             0.47363,             0.21099,            0.056095,            0.067668,            0.047449,            0.011915,           0.0046041,           0.0046041,            0.057804
                   7,            0.076382,            0.060298,            0.017786,             0.25523,              0.5011,             0.19392,            0.044082,             0.07433,            0.044884,            0.011399,           0.0052322,           0.0052322,            0.051732
                   8,            0.080886,            0.065192,            0.017541,             0.15165,             0.86154,             0.26493,            0.068892,            0.062832,            0.045883,            0.011467,           0.0058473,           0.0058473,            0.045647
                   9,            0.072097,            0.065989,            0.018372,             0.17418,             0.56154,             0.26754,            0.072318,            0.062529,            0.044202,             0.01166,           0.0064477,           0.0064477,            0.039548
                  10,            0.072086,            0.074623,            0.017015,              0.6437,             0.37912,             0.18925,            0.064225,            0.062569,            0.048411,            0.011692,            0.007032,            0.007032,            0.033432
                  11,            0.063985,             0.08005,            0.017431,             0.16408,             0.62857,             0.12907,            0.029768,            0.080664,            0.040079,            0.010921,           0.0075985,           0.0075985,            0.027299
                  12,            0.079125,            0.061121,            0.016512,             0.13534,             0.61758,             0.21095,            0.054413,            0.070595,            0.043481,            0.011692,           0.0081458,           0.0081458,            0.021146
                  13,            0.075109,            0.061379,            0.017442,             0.73187,             0.19231,             0.20665,            0.061453,            0.076115,            0.042232,            0.011813,           0.0086725,           0.0086725,            0.014972
                  14,            0.081135,            0.062867,             0.01643,             0.66679,             0.31868,             0.17948,            0.046436,            0.065653,            0.043562,            0.010742,           0.0091406,           0.0091406,           0.0091406
                  15,            0.068938,            0.063997,             0.01723,             0.11903,             0.68352,              0.2362,             0.06037,            0.072343,            0.040409,           0.0091924,           0.0091406,           0.0091406,           0.0091406
                  16,            0.071592,            0.055099,            0.013457,             0.22625,             0.58352,              0.2683,            0.081106,            0.061971,            0.040544,           0.0083479,           0.0090182,           0.0090182,           0.0090182
                  17,            0.065746,            0.054962,             0.01322,             0.82216,             0.37825,             0.37702,             0.15793,            0.054815,            0.040788,           0.0084317,           0.0088888,           0.0088888,           0.0088888
                  18,            0.063666,            0.061276,            0.013595,             0.59247,             0.54505,             0.27483,             0.06519,            0.061161,            0.041759,           0.0084563,           0.0087526,           0.0087526,           0.0087526
                  19,            0.063578,            0.054295,            0.013009,             0.37806,             0.53381,             0.34564,            0.087214,            0.057085,            0.040666,           0.0079068,           0.0086098,           0.0086098,           0.0086098
                  20,            0.061439,            0.058075,            0.012467,             0.43027,             0.51732,             0.40186,             0.14017,            0.053719,            0.041873,           0.0077133,           0.0084607,           0.0084607,           0.0084607
                  21,            0.060964,            0.055975,            0.012317,             0.27387,             0.77253,              0.4147,             0.13096,            0.055807,            0.041584,           0.0080923,           0.0083057,           0.0083057,           0.0083057
                  22,            0.060957,            0.054837,            0.012611,             0.34016,             0.66703,             0.40084,             0.13914,            0.053513,              0.0427,           0.0080896,            0.008145,            0.008145,            0.008145
                  23,            0.063343,            0.054392,            0.011138,             0.32821,             0.78278,             0.40961,             0.14383,            0.055699,            0.039206,           0.0088955,            0.007979,            0.007979,            0.007979
                  24,            0.060419,             0.05336,            0.012551,             0.29328,             0.76779,             0.47922,             0.22471,            0.050755,            0.041072,           0.0091496,            0.007808,            0.007808,            0.007808
                  25,            0.056508,             0.06012,            0.012163,             0.41881,             0.68352,             0.57927,             0.30311,             0.04381,            0.041683,           0.0081561,           0.0076324,           0.0076324,           0.0076324
                  26,             0.05356,            0.059968,            0.010415,             0.34885,             0.86703,             0.57887,             0.26617,            0.053248,            0.040238,           0.0080342,           0.0074525,           0.0074525,           0.0074525
                  27,            0.055491,            0.052769,            0.012373,             0.74281,             0.75476,             0.63521,             0.22839,             0.04462,            0.039377,            0.008542,           0.0072686,           0.0072686,           0.0072686
                  28,            0.048068,             0.05011,            0.010969,             0.90359,              0.7011,             0.80351,             0.41017,            0.040829,            0.040526,           0.0073993,           0.0070812,           0.0070812,           0.0070812
                  29,            0.046779,              0.0448,            0.010336,             0.69508,              0.7283,             0.73054,             0.34544,            0.043891,            0.042063,           0.0076062,           0.0068906,           0.0068906,           0.0068906
                  30,            0.047652,            0.043873,            0.010106,             0.65507,             0.59011,             0.60153,             0.29588,            0.043775,            0.040453,           0.0089999,           0.0066972,           0.0066972,           0.0066972
                  31,            0.045888,            0.047198,           0.0098531,             0.90314,             0.71758,             0.81716,              0.3951,            0.040113,            0.041823,            0.008893,           0.0065013,           0.0065013,           0.0065013
                  32,            0.043904,            0.048794,           0.0096119,             0.80287,             0.74124,               0.817,             0.40597,            0.039727,            0.042182,           0.0084823,           0.0063035,           0.0063035,           0.0063035
                  33,            0.044906,            0.048301,           0.0088668,             0.70178,             0.64504,             0.67238,             0.34477,            0.040674,            0.040749,             0.00825,            0.006104,            0.006104,            0.006104
                  34,            0.044668,            0.051557,           0.0093595,             0.92805,             0.72571,             0.82082,             0.37134,            0.039303,            0.041134,           0.0080725,           0.0059034,           0.0059034,           0.0059034
                  35,            0.048821,            0.052973,             0.00743,             0.67509,             0.73141,             0.71301,             0.38176,             0.04066,            0.042805,           0.0082784,           0.0057019,           0.0057019,           0.0057019
                  36,             0.04582,            0.043881,           0.0094601,             0.88792,             0.84437,             0.87254,              0.4123,             0.04217,            0.040015,           0.0079574,              0.0055,              0.0055,              0.0055
